Gene,p_value,effect_size
MAEL,0.24966963685860227,0.4371957046283568
MAF,0.10480556042112786,0.6237180806413117
MAF1,0.4408168710067245,0.2907302877380361
MAFA,0.7672682108626013,0.11109279333003591
MAFF,0.005492484377165405,1.12166008063224
MAFG,0.11281617495714452,0.6090700451203572
MAFG-AS1,0.23420060692336678,0.45218652973035967
MAFK,0.13293200162120294,0.5757702355079852
MAG,0.867409529446088,0.06263390234148154
MAGEB1,0.7527195411116225,0.11827750409311795
MAGEB17,0.4663993013870833,0.27454889529956494
MAGEB17-AS1,0.4663993013870833,0.27454889529956494
MAGEB3,0.9619795746731914,0.017879703965038126
MAGEB6,0.5708406542755717,0.21323740440229624
MAGI1,0.6927982782294609,0.14839212824431522
MAGI1-IT1,0.6148401363665518,0.18917545688116982
MAGI2,0.14198734138611455,0.5621174180474993
MAGI2-AS2,0.3209788973936233,0.3757092587029617
MAGIX,0.32481203467834363,0.3726901553587902
MAGOH,0.7967935465383634,0.09663982411038284
MAGOH-DT,0.7967935465383634,0.09663982411038284
MAGOH3P,0.5051111292150607,0.2510187694153042
MAGT1,0.30323068825990174,0.39002382337228275
MAJIN,0.5481544297367245,0.2260045658652309
MAL,0.7217846050418312,0.13371150449594618
MAL-AS1,0.2594453762453901,0.42807307577848897
MALAT1,0.8330697231646312,0.07908462255815187
MALRD1,0.17182949613539514,0.5216015467552378
MALT1,0.8398381265529578,0.07583050730425268
MAMDC4,0.24956013384778095,0.43729936885278237
MAML1,0.9139844139804908,0.04051709022799549
MAMSTR,0.782631417855179,0.1035520886189142
MAN1A2P1,0.20474548728488956,0.4829242699616918
MAN1B1,0.7220291559378962,0.13358859168297282
MAN1B1-DT,0.6838017128891112,0.15299646652092339
MAN1C1,0.7866476804512579,0.10158816828742076
MAN2A2,0.31425593734664675,0.3810651882286043
MAN2B1,0.5306934086191681,0.2360196398601258
MAN2C1,0.05455130033918141,0.7468357056616814
MANCR,0.45194666126288086,0.28362344556914537
MANSC1,0.6743878311108675,0.15784045259634782
MANSC4,0.7591285958852404,0.1151069912041075
MAP1A,0.26433380922586,0.4236054257067147
MAP1LC3B2,0.20820712960984014,0.47914389318547385
MAP1LC3BP1,0.5763154550038287,0.21019514456798585
MAP1S,0.7804940266983316,0.1045984728322932
MAP2,0.6880433067136236,0.15082269565446757
MAP2K1,0.8883265072738047,0.05267755748986759
MAP2K1P1,0.7734482416946875,0.10805394896677904
MAP2K2,0.08230057624927718,0.6706176139341766
MAP2K4,0.6837433714608006,0.15302640334347464
MAP2K6,0.4424882968412166,0.28965616889241996
MAP2K7,0.14371845784652984,0.5595884443168087
MAP3K10,0.17162583109367516,0.5218582947878246
MAP3K11,0.8686149944558511,0.062058913310928936
MAP3K12,0.893318615686318,0.05030740354421921
MAP3K13,0.6995183591205855,0.14496816674633653
MAP3K14-AS1,0.5137983916587248,0.24587966407770062
MAP3K15,0.2595145511918964,0.42800942810848175
MAP3K19,0.3876544802136258,0.3262999464182325
MAP3K2-DT,0.22054799783219803,0.4660455841750673
MAP3K20-AS1,0.4033058235982635,0.3155257982330755
MAP3K3,0.8296523684259934,0.08072999164113599
MAP3K4,0.2547349892522242,0.4324366422074031
MAP3K6,0.6149978056541598,0.189090739907985
MAP3K7CL,0.926351822119557,0.03467245761883232
MAP4,0.34086117558130924,0.3603077965566492
MAP4K1,0.7315133351105017,0.12883324978903726
MAP4K1-AS1,0.4447747273354139,0.28819078791263136
MAP4K2,0.5760473666665138,0.2103437796301045
MAP4K3,0.974238876781699,0.012111952129618169
MAP4K3-DT,0.45267869713500497,0.28315970718193156
MAP4K5,0.13717131477531627,0.5692872527932034
MAP7D1,0.8905249458613654,0.05163351476734095
MAP7D2,0.37685000648361444,0.33390176453159964
MAPK1,0.28502099392190483,0.4053360283975322
MAPK10,0.9051078416109198,0.04471833823085081
MAPK10-AS1,0.9051078416109198,0.04471833823085081
MAPK11,0.8281003405007705,0.08147779283178877
MAPK12,0.09954572905129239,0.633854898925099
MAPK15,0.6211982712538104,0.1857671142685435
MAPK1IP1L,0.4038517201598393,0.3151548529639455
MAPK3,0.18639781970458008,0.5038280837211659
MAPK6,0.9955222263918154,0.0021049130375361113
MAPK6-DT,0.5968995168496489,0.19888276739752958
MAPK6P2,0.12412446990819241,0.5897996342535583
MAPK6P6,0.6456867041227713,0.1727853701734453
MAPK8IP1,0.8298852086352219,0.08061783337207812
MAPK8IP2,0.381560789579936,0.33057021542039344
MAPK8IP3,0.3636250752388046,0.3434025888267226
MAPK8IP3-AS1,0.8916235558793265,0.05111194150689991
MAPK9,0.5660550683020111,0.2159087180758439
MAPKAP1,0.545853488873961,0.22731458908777782
MAPKAPK3,0.20968736133623983,0.4775420559831469
MAPKBP1,0.11774697296850895,0.6004793629158202
MAPRE1,0.836946211358786,0.07722013166496033
MAPRE1P1,0.34708458888395155,0.3556127838676483
MAPRE1P2,0.352809583585841,0.3513435093866982
MAPRE3,0.2351314618535272,0.45126392478357624
MAPRE3-AS1,0.9878470801269137,0.005713049578015796
MAPT,0.43876382102864453,0.29205303276887007
MAPT-AS1,0.4701962081866441,0.2721924454439492
MARCHF10,0.4588727292043796,0.27925358915436266
MARCHF10-DT,0.6512914437056931,0.16984503147000796
MARCHF11,0.990367259065092,0.004528252582974714
MARCHF11-DT,0.9325685699195707,0.03173797372180422
MARCHF2,0.25474152077004564,0.4324305507745177
MARCHF5,0.8591333538317713,0.06658579133542462
MARCHF6,0.4716968298476698,0.2712641892077054
MARCHF7,0.777085799202767,0.10626878892007965
MARCKSL1,0.2232980257518684,0.46320297279189826
MARCKSL1P1,0.45216660730006253,0.28348406456520003
MARCKSL1P2,0.5854631348642225,0.2051438218688916
MARF1,0.5812910999767448,0.20744273129412102
MARK2,0.37460588747745616,0.3354983827126475
MARK2P19,0.3656164611396615,0.34195760778421386
MARK2P21,0.9912658154748191,0.00410583170103008
MARK2P3,0.6198328246382543,0.18649771321460218
MARK2P6,0.36968641591709717,0.3390204347919606
MARK3,0.7840055519360558,0.10287981423930773
MARK3P3,0.36968641591709717,0.3390204347919606
MARK4,0.578361192190664,0.2090620670650771
MARS1,0.8392203878582625,0.07612725048871953
MARVELD2,0.3128813224712944,0.38217005523313
MAS1,0.5483045010961907,0.22591922378027704
MASP2,0.7528161093113375,0.11822966703753776
MAST1,0.24130641500885966,0.4452117609908035
MAST2,0.7489330194297708,0.12015484231576057
MAST3,0.8277088982542897,0.08166645214017018
MAST4,0.5405984894936445,0.23031738938009208
MAT2B,0.4361219756461804,0.293760669301693
MATCAP1,0.9857433527512681,0.006702108227531174
MATK,0.42428560908575097,0.30149012179309254
MATN1,0.7828798630790754,0.10343051464969032
MATN1-AS1,0.7828798630790754,0.10343051464969032
MATN2,0.043255164319892535,0.7881714467376395
MATN4,0.19940307236483923,0.4888561664646426
MATR3,0.859285063797305,0.0665132807380732
MAU2,0.8625527775401498,0.06495209095738995
MB,0.6255146029780764,0.1834624352041949
MBD1,0.7500725435440752,0.11958954099461937
MBD3,0.5457986670364445,0.22734583669037564
MBD3L1,0.5256706405121749,0.238932953638232
MBD5,0.9120836452929022,0.04141624634699072
MBD6,0.3969249069514186,0.31988554152825943
MBNL2,0.826821603586487,0.08209417300006074
MBOAT7,0.5281455061541556,0.23749561471240382
MBP,0.8569795810571179,0.06761548338170463
