Triplet_ID,Gene_Ensembl_ID,Gene_Symbol,miRNA_Name,Sample_Size,B12_Variable_Used,Target_log2FC,Target_Direction,miRNA_log2FC,miRNA_Direction,Methylation_Direction,Methylation_Value,Path_a,Path_a_pvalue,Path_b,Path_b_pvalue,Path_c,Path_c_prime,ACME,Total_Effect,Proportion_Mediated,R2_Mediator,R2_Outcome,Path_a_Significant,Path_b_Significant,Mediation_Significant
LHX8_hsa-miR-301b-3p_18964,ENSG00000162624,LHX8,hsa-miR-301b-3p,50,B12_numeric,29.91083438,Up-regulated,-0.736874531,Down-regulated,Hypomethylated,-1.404394964,0.002768639196749018,0.02358057029480598,0.002450341387037501,0.8617027909444883,-0.00020007690572427709,-0.00020686101693384522,6.7841112095683814e-06,-0.00020007690572427709,-0.03390751763683041,0.12357463779137745,0.07095090345346411,True,False,False
LHX8_hsa-miR-450a-1-3p_18962,ENSG00000162624,LHX8,hsa-miR-450a-1-3p,50,B12_numeric,29.91083438,Up-regulated,0.839209771,Up-regulated,Hypomethylated,-0.438134154,-0.006913325810759852,0.034806996485201136,0.021387663059695708,1.2888193684945648e-05,-0.00020007690572427709,-5.2217022661847684e-05,-0.00014785988306242938,-0.00020007690572427709,0.7390152427996504,0.08042564269673713,0.37624788553856503,True,True,True
LHX8_hsa-miR-450a-1-3p_18963,ENSG00000162624,LHX8,hsa-miR-450a-1-3p,50,B12_numeric,29.91083438,Up-regulated,0.839209771,Up-regulated,Hypomethylated,-0.515227874,-0.006913325810759852,0.034806996485201136,0.021387663059695708,1.2888193684945648e-05,-0.00020007690572427709,-5.2217022661847684e-05,-0.00014785988306242938,-0.00020007690572427709,0.7390152427996504,0.08042564269673713,0.37624788553856503,True,True,True
LHX8_hsa-miR-450a-1-3p_18964,ENSG00000162624,LHX8,hsa-miR-450a-1-3p,50,B12_numeric,29.91083438,Up-regulated,0.839209771,Up-regulated,Hypomethylated,-1.404394964,-0.006913325810759852,0.034806996485201136,0.021387663059695708,1.2888193684945648e-05,-0.00020007690572427709,-5.2217022661847684e-05,-0.00014785988306242938,-0.00020007690572427709,0.7390152427996504,0.08042564269673713,0.37624788553856503,True,True,True
LHX8_hsa-miR-320c_18962,ENSG00000162624,LHX8,hsa-miR-320c,50,B12_numeric,29.91083438,Up-regulated,0.798268304,Up-regulated,Hypomethylated,-0.438134154,-0.0018588356130533634,0.273365051264266,-0.008965826520295914,0.3788975675247941,-0.00020007690572427709,-0.0002167429033606399,1.666599763638436e-05,-0.00020007690572427709,-0.08329795773307047,0.0682346454536834,0.08535246702680821,False,False,False
LHX8_hsa-miR-320c_18963,ENSG00000162624,LHX8,hsa-miR-320c,50,B12_numeric,29.91083438,Up-regulated,0.798268304,Up-regulated,Hypomethylated,-0.515227874,-0.0018588356130533634,0.273365051264266,-0.008965826520295914,0.3788975675247941,-0.00020007690572427709,-0.0002167429033606399,1.666599763638436e-05,-0.00020007690572427709,-0.08329795773307047,0.0682346454536834,0.08535246702680821,False,False,False
LHX8_hsa-miR-320c_18964,ENSG00000162624,LHX8,hsa-miR-320c,50,B12_numeric,29.91083438,Up-regulated,0.798268304,Up-regulated,Hypomethylated,-1.404394964,-0.0018588356130533634,0.273365051264266,-0.008965826520295914,0.3788975675247941,-0.00020007690572427709,-0.0002167429033606399,1.666599763638436e-05,-0.00020007690572427709,-0.08329795773307047,0.0682346454536834,0.08535246702680821,False,False,False
LHX8_hsa-miR-497-5p_18962,ENSG00000162624,LHX8,hsa-miR-497-5p,50,B12_numeric,29.91083438,Up-regulated,0.473419716,Up-regulated,Hypomethylated,-0.438134154,-0.011094984316596324,0.029863116578696225,0.010672168940594307,0.0009279576113141452,-0.00020007690572427709,-8.16693587043168e-05,-0.00011840754701996025,-0.00020007690572427709,0.5918101671521043,0.11251198886698022,0.2550793227546917,True,True,True
LHX8_hsa-miR-497-5p_18963,ENSG00000162624,LHX8,hsa-miR-497-5p,50,B12_numeric,29.91083438,Up-regulated,0.473419716,Up-regulated,Hypomethylated,-0.515227874,-0.011094984316596324,0.029863116578696225,0.010672168940594307,0.0009279576113141452,-0.00020007690572427709,-8.16693587043168e-05,-0.00011840754701996025,-0.00020007690572427709,0.5918101671521043,0.11251198886698022,0.2550793227546917,True,True,True
LHX8_hsa-miR-497-5p_18964,ENSG00000162624,LHX8,hsa-miR-497-5p,50,B12_numeric,29.91083438,Up-regulated,0.473419716,Up-regulated,Hypomethylated,-1.404394964,-0.011094984316596324,0.029863116578696225,0.010672168940594307,0.0009279576113141452,-0.00020007690572427709,-8.16693587043168e-05,-0.00011840754701996025,-0.00020007690572427709,0.5918101671521043,0.11251198886698022,0.2550793227546917,True,True,True
