Triplet_ID,Gene_Ensembl_ID,Gene_Symbol,miRNA_Name,DMR_Index,Target_log2FC,Target_Direction,Target_padj,miRNA_log2FC,miRNA_Direction,miRNA_padj,Methylation_Direction,Methylation_Value,DMR_pvalue,DMR_qvalue
LHX8_hsa-miR-27a-5p_18964,ENSG00000162624,LHX8,hsa-miR-27a-5p,18964,29.91083438,Up-regulated,2.79e-10,-0.75717096,Down-regulated,0.99990023,Hypomethylated,-1.404394964,3.68489466116448e-07,2.2622902579969e-06
LHX8_hsa-miR-195-5p_18962,ENSG00000162624,LHX8,hsa-miR-195-5p,18962,29.91083438,Up-regulated,2.79e-10,0.615927261,Up-regulated,0.99990023,Hypomethylated,-0.438134154,3.90772772592636e-12,5.1172049544339795e-11
LHX8_hsa-miR-195-5p_18963,ENSG00000162624,LHX8,hsa-miR-195-5p,18963,29.91083438,Up-regulated,2.79e-10,0.615927261,Up-regulated,0.99990023,Hypomethylated,-0.515227874,1.62174962386477e-06,8.86176869847841e-06
LHX8_hsa-miR-195-5p_18964,ENSG00000162624,LHX8,hsa-miR-195-5p,18964,29.91083438,Up-regulated,2.79e-10,0.615927261,Up-regulated,0.99990023,Hypomethylated,-1.404394964,3.68489466116448e-07,2.2622902579969e-06
LHX8_hsa-miR-138-5p_18962,ENSG00000162624,LHX8,hsa-miR-138-5p,18962,29.91083438,Up-regulated,2.79e-10,-0.88475238,Down-regulated,0.99990023,Hypomethylated,-0.438134154,3.90772772592636e-12,5.1172049544339795e-11
LHX8_hsa-miR-138-5p_18963,ENSG00000162624,LHX8,hsa-miR-138-5p,18963,29.91083438,Up-regulated,2.79e-10,-0.88475238,Down-regulated,0.99990023,Hypomethylated,-0.515227874,1.62174962386477e-06,8.86176869847841e-06
LHX8_hsa-miR-138-5p_18964,ENSG00000162624,LHX8,hsa-miR-138-5p,18964,29.91083438,Up-regulated,2.79e-10,-0.88475238,Down-regulated,0.99990023,Hypomethylated,-1.404394964,3.68489466116448e-07,2.2622902579969e-06
LHX8_hsa-miR-4713-3p_18962,ENSG00000162624,LHX8,hsa-miR-4713-3p,18962,29.91083438,Up-regulated,2.79e-10,-0.528231878,Down-regulated,0.99990023,Hypomethylated,-0.438134154,3.90772772592636e-12,5.1172049544339795e-11
LHX8_hsa-miR-4713-3p_18963,ENSG00000162624,LHX8,hsa-miR-4713-3p,18963,29.91083438,Up-regulated,2.79e-10,-0.528231878,Down-regulated,0.99990023,Hypomethylated,-0.515227874,1.62174962386477e-06,8.86176869847841e-06
LHX8_hsa-miR-4713-3p_18964,ENSG00000162624,LHX8,hsa-miR-4713-3p,18964,29.91083438,Up-regulated,2.79e-10,-0.528231878,Down-regulated,0.99990023,Hypomethylated,-1.404394964,3.68489466116448e-07,2.2622902579969e-06
LHX8_hsa-miR-18b-5p_18962,ENSG00000162624,LHX8,hsa-miR-18b-5p,18962,29.91083438,Up-regulated,2.79e-10,1.134318306,Up-regulated,0.99990023,Hypomethylated,-0.438134154,3.90772772592636e-12,5.1172049544339795e-11
LHX8_hsa-miR-18b-5p_18963,ENSG00000162624,LHX8,hsa-miR-18b-5p,18963,29.91083438,Up-regulated,2.79e-10,1.134318306,Up-regulated,0.99990023,Hypomethylated,-0.515227874,1.62174962386477e-06,8.86176869847841e-06
LHX8_hsa-miR-18b-5p_18964,ENSG00000162624,LHX8,hsa-miR-18b-5p,18964,29.91083438,Up-regulated,2.79e-10,1.134318306,Up-regulated,0.99990023,Hypomethylated,-1.404394964,3.68489466116448e-07,2.2622902579969e-06
LHX8_hsa-miR-365a-5p_18962,ENSG00000162624,LHX8,hsa-miR-365a-5p,18962,29.91083438,Up-regulated,2.79e-10,-0.712603493,Down-regulated,0.99990023,Hypomethylated,-0.438134154,3.90772772592636e-12,5.1172049544339795e-11
LHX8_hsa-miR-365a-5p_18963,ENSG00000162624,LHX8,hsa-miR-365a-5p,18963,29.91083438,Up-regulated,2.79e-10,-0.712603493,Down-regulated,0.99990023,Hypomethylated,-0.515227874,1.62174962386477e-06,8.86176869847841e-06
LHX8_hsa-miR-365a-5p_18964,ENSG00000162624,LHX8,hsa-miR-365a-5p,18964,29.91083438,Up-regulated,2.79e-10,-0.712603493,Down-regulated,0.99990023,Hypomethylated,-1.404394964,3.68489466116448e-07,2.2622902579969e-06
LHX8_hsa-miR-548am-3p_18962,ENSG00000162624,LHX8,hsa-miR-548am-3p,18962,29.91083438,Up-regulated,2.79e-10,1.084584759,Up-regulated,0.99990023,Hypomethylated,-0.438134154,3.90772772592636e-12,5.1172049544339795e-11
LHX8_hsa-miR-548am-3p_18963,ENSG00000162624,LHX8,hsa-miR-548am-3p,18963,29.91083438,Up-regulated,2.79e-10,1.084584759,Up-regulated,0.99990023,Hypomethylated,-0.515227874,1.62174962386477e-06,8.86176869847841e-06
LHX8_hsa-miR-548am-3p_18964,ENSG00000162624,LHX8,hsa-miR-548am-3p,18964,29.91083438,Up-regulated,2.79e-10,1.084584759,Up-regulated,0.99990023,Hypomethylated,-1.404394964,3.68489466116448e-07,2.2622902579969e-06
LHX8_hsa-miR-5708_18962,ENSG00000162624,LHX8,hsa-miR-5708,18962,29.91083438,Up-regulated,2.79e-10,-1.843974018,Down-regulated,0.99990023,Hypomethylated,-0.438134154,3.90772772592636e-12,5.1172049544339795e-11
LHX8_hsa-miR-5708_18963,ENSG00000162624,LHX8,hsa-miR-5708,18963,29.91083438,Up-regulated,2.79e-10,-1.843974018,Down-regulated,0.99990023,Hypomethylated,-0.515227874,1.62174962386477e-06,8.86176869847841e-06
LHX8_hsa-miR-5708_18964,ENSG00000162624,LHX8,hsa-miR-5708,18964,29.91083438,Up-regulated,2.79e-10,-1.843974018,Down-regulated,0.99990023,Hypomethylated,-1.404394964,3.68489466116448e-07,2.2622902579969e-06
LHX8_hsa-miR-1302_18962,ENSG00000162624,LHX8,hsa-miR-1302,18962,29.91083438,Up-regulated,2.79e-10,-1.260504314,Down-regulated,0.99990023,Hypomethylated,-0.438134154,3.90772772592636e-12,5.1172049544339795e-11
LHX8_hsa-miR-1302_18963,ENSG00000162624,LHX8,hsa-miR-1302,18963,29.91083438,Up-regulated,2.79e-10,-1.260504314,Down-regulated,0.99990023,Hypomethylated,-0.515227874,1.62174962386477e-06,8.86176869847841e-06
LHX8_hsa-miR-1302_18964,ENSG00000162624,LHX8,hsa-miR-1302,18964,29.91083438,Up-regulated,2.79e-10,-1.260504314,Down-regulated,0.99990023,Hypomethylated,-1.404394964,3.68489466116448e-07,2.2622902579969e-06
LHX8_hsa-miR-214-3p_18962,ENSG00000162624,LHX8,hsa-miR-214-3p,18962,29.91083438,Up-regulated,2.79e-10,0.631924396,Up-regulated,0.99990023,Hypomethylated,-0.438134154,3.90772772592636e-12,5.1172049544339795e-11
LHX8_hsa-miR-214-3p_18963,ENSG00000162624,LHX8,hsa-miR-214-3p,18963,29.91083438,Up-regulated,2.79e-10,0.631924396,Up-regulated,0.99990023,Hypomethylated,-0.515227874,1.62174962386477e-06,8.86176869847841e-06
LHX8_hsa-miR-214-3p_18964,ENSG00000162624,LHX8,hsa-miR-214-3p,18964,29.91083438,Up-regulated,2.79e-10,0.631924396,Up-regulated,0.99990023,Hypomethylated,-1.404394964,3.68489466116448e-07,2.2622902579969e-06
LHX8_hsa-miR-31-5p_18962,ENSG00000162624,LHX8,hsa-miR-31-5p,18962,29.91083438,Up-regulated,2.79e-10,-0.485868578,Down-regulated,0.99990023,Hypomethylated,-0.438134154,3.90772772592636e-12,5.1172049544339795e-11
LHX8_hsa-miR-31-5p_18963,ENSG00000162624,LHX8,hsa-miR-31-5p,18963,29.91083438,Up-regulated,2.79e-10,-0.485868578,Down-regulated,0.99990023,Hypomethylated,-0.515227874,1.62174962386477e-06,8.86176869847841e-06
LHX8_hsa-miR-31-5p_18964,ENSG00000162624,LHX8,hsa-miR-31-5p,18964,29.91083438,Up-regulated,2.79e-10,-0.485868578,Down-regulated,0.99990023,Hypomethylated,-1.404394964,3.68489466116448e-07,2.2622902579969e-06
LHX8_hsa-miR-219b-3p_18962,ENSG00000162624,LHX8,hsa-miR-219b-3p,18962,29.91083438,Up-regulated,2.79e-10,1.558595222,Up-regulated,0.99990023,Hypomethylated,-0.438134154,3.90772772592636e-12,5.1172049544339795e-11
LHX8_hsa-miR-219b-3p_18963,ENSG00000162624,LHX8,hsa-miR-219b-3p,18963,29.91083438,Up-regulated,2.79e-10,1.558595222,Up-regulated,0.99990023,Hypomethylated,-0.515227874,1.62174962386477e-06,8.86176869847841e-06
