Gene,p_value,effect_size
ADAM7-AS1,0.9131160800723744,0.019762905624817254
ADAM8,0.3947417052130072,0.29739743340136615
ADAM9,0.3480712878701422,0.3582265807573985
ADAMTS10,0.9825901131969854,0.1129849429174615
ADAMTS12,0.9825901131969854,0.05986215640595904
ADAMTS13,0.13214331982716349,0.6989370773020042
ADAMTS16,0.8785934392551416,0.06578938570019767
ADAMTS16-DT,0.8785934392551416,0.06578938570019767
ADAMTS17,0.4714517068389269,0.2745103908599691
ADAMTS19,0.3050688106228865,0.3657892956892905
ADAMTS2,0.16920192165920167,0.4188566036065909
ADAMTS20,0.4714517068389269,0.21757362239581746
ADAMTS4,0.5557349624423149,0.3036862661952554
ADAMTS6,0.9825901131969854,0.027237512087141803
ADAMTS7,0.6467674040054682,0.2642686115384711
ADAMTS7P1,0.7766531265771661,0.0976332203970708
ADAMTS7P3,0.3050688106228865,0.4271215132046475
ADAMTS9,0.5268434347302196,0.06965488335002676
ADAMTSL1,0.04241488053789996,0.794496158824131
ADAMTSL2,0.498738821650313,0.24833520061422884
ADAMTSL3,0.615737058040257,0.208285241654536
ADAMTSL4,0.8785934392551416,0.1710468708028205
ADAMTSL4-AS2,0.6467674040054682,0.2123245145573461
ADAMTSL5,0.445008718746736,0.33924058510027205
ADAP1,0.15606926343164354,0.5036931750322478
ADAP2,0.10170693003109327,0.7315017586846383
ADARB1,0.23006229802639666,0.5379574253020458
ADARB2,0.10170693003109327,0.7187346912568265
ADAT3,0.498738821650313,0.33243326734303474
ADCK1,0.12129832212514398,0.5170874340478342
ADCK2,0.445008718746736,0.4952772193541731
ADCK5,0.052120248298436415,0.8275659440356117
ADCY10P1,0.810299496070296,0.18653628501381067
ADCY2,0.5557349624423149,0.2518197597147268
ADCY3,0.3480712878701422,0.31260344040495364
ADCY4,0.8443001476220315,0.03623993733079104
ADCY5,0.5557349624423149,0.2772059448370726
ADCY6,0.3480712878701422,0.3403695206935356
ADCY7,0.615737058040257,0.19695738001128454
ADCY8,0.9478034802354203,0.008550825028573652
ADCY9,0.810299496070296,0.03255101770452096
ADCYAP1,0.5268434347302196,0.2076527957228731
ADCYAP1R1,0.6784245040488326,0.17747846530851377
ADD1,0.10170693003109327,0.6641729536184547
ADD2,0.1437248058279078,0.46952676084479666
ADD3,0.02752429546398351,0.9933992742095886
ADGRA1,0.7434206976952524,0.041197693661464564
ADGRA1-AS1,0.8443001476220315,0.21844038964021728
ADGRA2,0.017379700825926846,1.052189556859076
ADGRA3,0.445008718746736,0.1576789456216088
ADGRB1,0.4714517068389269,0.20348669363642388
ADGRB2,0.5853789284609614,0.2609003457510809
ADGRD1,0.4194324996066613,0.21912316013345423
ADGRD1-AS1,0.9478034802354203,0.11109045520156843
ADGRD2,0.3947417052130072,0.40640945814912544
ADGRE1,0.3050688106228865,0.3526718581224733
ADGRE2,0.810299496070296,0.07076107531662788
ADGRE4P,0.0771336684412056,0.5921493923291427
ADGRE5,0.6467674040054682,0.13699526610241172
ADGRG1,0.16920192165920167,0.5240650570447888
ADGRG3,1.0,0.06274180407970473
ADGRG5,0.3480712878701422,0.455188696206368
ADGRG7,0.030745034758993203,0.6428424219977199
ADGRL1,0.09290328709689505,0.7123842027591712
ADGRL1-AS1,0.7434206976952524,0.07783644661639952
ADGRL3,0.810299496070296,0.1296826761201568
ADGRV1,0.5853789284609614,0.1985853009987977
ADH5,0.9478034802354203,0.04374341453077956
ADHFE1,0.2657465520914202,0.34904348577839733
ADI1,0.8443001476220315,0.14554834207252615
ADIPINT,0.3947417052130072,0.24426982848000078
ADIPOR1P1,0.0771336684412056,0.4630435549421557
ADIPOR2,0.8785934392551416,0.1209701648926453
ADIRF-AS1,0.4714517068389269,0.6842115041253324
ADISSP,0.37095103453309664,0.4564288334662044
ADK,0.3947417052130072,0.2431860751169261
ADM2,0.4194324996066613,0.3690127005745386
ADM5,0.4194324996066613,0.3674247810122221
ADORA1,0.28494907768465494,0.4134917832085012
ADORA2A,0.5853789284609614,0.09513685945247968
ADORA2A-AS1,0.04241488053789996,0.7203072009467206
ADORA2B,0.37095103453309664,0.36044386883193935
ADPRH,0.445008718746736,0.19394916583415403
ADPRHL1,0.7766531265771661,0.11252540277031244
ADPRM,1.0,0.08141013926053231
ADPRS,0.810299496070296,0.09415880688139625
ADRA1A,0.6467674040054682,0.30598918566602207
ADRA1D,0.3050688106228865,0.33164423418260064
